Temperature
109.00
109.00
108.00
102.00
103.00
105.00
101.00
102.00
103.00
108.00
98.00
100.00
101.00
99.00
99.00
103.00
103.00
105.00
103.00
96.00
96.00
104.00
101.00
103.00
97.00
100.00
98.00
98.00
101.00
102.00
108.00
97.00
107.00
100.00
100.00
98.00
101.00
99.00
110.00
102.00
